('﻿ilkid', 'firstname', 'lastname', year, 'team', gp, minutes, pts, dreb, oreb, reb, asts, stl, blk, turnover),
('MARTIDA01 ', 'Darrick', 'Martin', 1999, 'SAC', 2, 21, 10, 2, 1, 3, 2, 1, 0, 3),
('MASHBJA01 ', 'Jamal', 'Mashburn', 1999, 'MIA', 10, 423, 175, 37, 9, 46, 32, 11, 2, 24),
('MASONAN01 ', 'Anthony', 'Mason', 1999, 'CHA', 4, 179, 50, 23, 16, 39, 22, 4, 0, 13),
('MCCOYJE01 ', 'Jelani', 'McCoy', 1999, 'SEA', 3, 26, 4, 6, 0, 6, 2, 0, 0, 2),
('MCGRATR01 ', 'Tracy', 'McGrady', 1999, 'TOR', 3, 111, 50, 11, 10, 21, 9, 3, 3, 10),
('MCKEYDE01 ', 'Derrick', 'McKey', 1999, 'IND', 23, 352, 47, 54, 25, 79, 14, 7, 4, 19),
('MCKIEAA01 ', 'Aaron', 'McKie', 1999, 'PHI', 10, 331, 138, 32, 4, 36, 46, 4, 2, 16),
('MILLEBR01 ', 'Brad', 'Miller', 1999, 'CHA', 4, 62, 30, 5, 8, 13, 3, 0, 3, 9),
('MILLEOL01 ', 'Oliver', 'Miller', 1999, 'PHO', 7, 37, 6, 6, 2, 8, 1, 0, 2, 2),
('MILLERE01 ', 'Reggie', 'Miller', 1999, 'IND', 22, 892, 527, 44, 9, 53, 60, 23, 10, 28),
('MILLSTE01 ', 'Terry', 'Mills', 1999, 'DET', 3, 77, 25, 6, 0, 6, 1, 2, 0, 2),
('MITCHSA01 ', 'Sam', 'Mitchell', 1999, 'MIN', 4, 68, 23, 5, 2, 7, 2, 0, 1, 4),
('MONTRER01 ', 'Eric', 'Montross', 1999, 'DET', 2, 5, 0, 2, 0, 2, 0, 0, 0, 0),
('MOOREMI01 ', 'Mikki', 'Moore', 1999, 'DET', 3, 42, 18, 5, 7, 12, 3, 1, 0, 4),
('MOURNAL01 ', 'Alonzo', 'Mourning', 1999, 'MIA', 10, 376, 216, 69, 31, 100, 14, 2, 33, 24),
('MULLICH01 ', 'Chris', 'Mullin', 1999, 'IND', 9, 90, 31, 12, 2, 14, 5, 6, 1, 4),
('NESTERA01 ', 'Radoslav', 'Nesterovic', 1999, 'MIN', 4, 126, 25, 8, 5, 13, 6, 3, 7, 4),
('OAKLECH01 ', 'Charles', 'Oakley', 1999, 'TOR', 3, 110, 30, 21, 2, 23, 11, 6, 1, 5),
('OLLIEKE01 ', 'Kevin', 'Ollie', 1999, 'PHI', 10, 65, 20, 5, 0, 5, 12, 2, 0, 3),
('ONEAJE01  ', 'Jermaine', 'O'neal', 1999, 'POR', 8, 38, 12, 5, 2, 7, 1, 0, 3, 0),
('ONEASH01  ', 'Shaquille', 'O'neal', 1999, 'LAL', 23, 1000, 707, 236, 119, 355, 71, 13, 55, 56),
('OSTERGR01 ', 'Greg', 'Ostertag', 1999, 'UTA', 8, 172, 30, 26, 19, 45, 2, 2, 17, 8),
('PADGESC01 ', 'Scott', 'Padgett', 1999, 'UTA', 8, 59, 15, 14, 3, 17, 5, 1, 2, 4),
('PATTERU01 ', 'Ruben', 'Patterson', 1999, 'SEA', 5, 84, 41, 6, 9, 15, 2, 3, 2, 8),
('PAYTOGA01 ', 'Gary', 'Payton', 1999, 'SEA', 5, 221, 129, 30, 8, 38, 37, 9, 1, 18),
('PEELEAN01 ', 'Anthony', 'Peeler', 1999, 'MIN', 4, 90, 30, 7, 2, 9, 5, 3, 1, 1),
